filed_date,permit_number,county,city,address,zip_code,permit_type,status,applicant_name,owner_name,contractor_name,description,est_value,sqft,parcel_number,matched_company,match_score
2025-10-09,BLD-2025-039800,City of Tampa,Tampa,7400 W Hillsborough Ave,33634,Commercial New Construction,Application Received,Microsoft Corporation,Microsoft Azure Real Estate LLC,McCarthy Building Companies Inc,"New 320,000 SF Azure data center — two-hall campus build-out","$490,000,000","320,000",A-12-28-17-ZZZ-000000-00770,Microsoft,100%
2025-10-03,BC-2025-022100,"Hillsborough County, FL",Riverview,14122 Swan Lake Dr,33579,Residential New Construction,Permit Issued,D.R. Horton Inc,D.R. Horton Inc,D.R. Horton Inc,"New single-family residence 2,450 SF","$310,000","2,450",U-05-31-20-ZZZ-000000-11100,—,—
2025-09-23,BD-2025-025800,"Pasco County, FL",Lutz,19200 FL-54,33558,Commercial New Construction,Application Received,Vadata Inc,Vadata Inc,Turner Construction Company,"New 450,000 SF Amazon fulfillment center (BNA9 expansion type)","$62,000,000","450,000",07-26-18-0000-00800-0010,Amazon,100%
2025-09-05,BC-2025-019877,"Hillsborough County, FL",Wimauma,3250 SR-674,33598,Commercial New Construction,Plan Review,Costco Wholesale Corporation,Costco Wholesale Corporation,Hensel Phelps Construction Co,"New 162,000 SF Costco warehouse — Sun City Center area","$20,800,000","162,000",U-30-31-20-ZZZ-000000-66600,Costco,100%
2025-08-27,BLD-2025-035500,City of Tampa,Tampa,601 N Ashley Dr,33602,Commercial New Construction,Plan Review,Target Corporation,Target Real Estate LLC,McGough Construction LLC,"New 24,000 SF small-format Target store — Hyde Park Village area","$5,600,000","24,000",A-01-29-18-ZZZ-000000-00330,Target,100%
2025-08-12,BC-2025-016455,"Hillsborough County, FL",Brandon,119 Oakfield Dr,33511,Commercial New Construction,Application Received,HCA Florida Brandon Hospital,HCA Healthcare Inc,Rodgers Builders Inc,"New 6-story, 180,000 SF hospital patient tower addition","$85,000,000","180,000",U-14-29-20-ZZZ-000000-22200,HCA Healthcare,100%
2025-08-04,BD-2025-022550,"Pasco County, FL",Zephyrhills,2050 Zephyrhills Bypass Rd,33540,Commercial New Construction,Permit Issued,CFA Properties Inc,CFA Properties Inc,Axiom Construction Inc,"New 5,100 SF Chick-fil-A with dual drive-through lanes","$2,400,000","5,100",25-26-21-0000-01100-0010,Chick-fil-A,100%
2025-07-29,BC-2025-014002,"Hillsborough County, FL",Tampa,3900 Port Tampa Bay Blvd,33616,Commercial New Construction,Permit Issued,Amazon Data Services Inc,Vadata Inc,Turner Construction Company,"New 280,000 SF hyperscale data center (AWS) — 2 x 140k SF halls","$412,000,000","280,000",U-18-30-17-ZZZ-000000-88800,Amazon,100%
2025-07-15,BLD-2025-031020,City of Tampa,Tampa,5030 W Kennedy Blvd,33609,Commercial New Construction,Permit Issued,McDonalds Corporation,McDonald's USA LLC,Conlan Company,"New 4,200 SF McDonald's restaurant with double drive-through","$1,850,000","4,200",A-22-29-17-ZZZ-000000-00660,McDonald's,100%
2025-07-08,BD-2025-019900,"Pasco County, FL",Wesley Chapel,5500 Wesley Chapel Blvd,33544,Commercial New Construction,Plan Review,Costco Wholesale Corporation,Costco Wholesale Corporation,Hensel Phelps Construction Co,"New 158,000 SF Costco warehouse — Wiregrass Ranch area","$19,500,000","158,000",11-26-20-0000-00300-0010,Costco,100%
2025-06-18,BC-2025-011580,"Hillsborough County, FL",Gibsonton,6400 US Hwy 301 S,33534,Commercial New Construction,Plan Review,Prologis USLF III LLC,Prologis LP,Sunbelt Structures Inc,"New 320,000 SF Class A industrial/distribution building — spec","$28,500,000","320,000",U-15-31-19-ZZZ-000000-55500,—,—
2025-06-11,BD-2025-016700,"Pasco County, FL",Land O Lakes,4100 Land O Lakes Blvd,34639,Commercial New Construction,Application Received,United Parcel Service Inc,UPS Supply Chain Solutions Inc,Skanska USA Building Inc,"New 185,000 SF UPS package hub and customer center","$22,000,000","185,000",18-26-19-0000-00500-0010,UPS,100%
2025-06-04,BLD-2025-027660,City of Tampa,Tampa,9100 E Adamo Dr,33619,Commercial New Construction,Plan Review,Meta Platforms Inc,Facebook Real Estate LLC,Mortenson Construction,"New 400,000 SF hyperscale data center campus — Phase 1 of 3","$620,000,000","400,000",A-05-30-19-ZZZ-000000-00550,Meta / Facebook,100%
2025-05-22,BD-2025-013400,"Pasco County, FL",Wesley Chapel,5860 Cypress Ranch Blvd,33544,Commercial New Construction,Permit Issued,Target Corporation,Target Real Estate LLC,Barton Malow Company,"New 135,000 SF Target store — Wiregrass Ranch, drive-up + Starbucks","$15,800,000","135,000",09-26-20-0000-00100-0200,Target,100%
2025-05-07,BC-2025-009340,"Hillsborough County, FL",Brandon,2201 Bloomingdale Ave,33596,Commercial New Construction,Application Received,Chick-fil-A Inc,CFA Properties Inc,Axiom Construction Inc,"New 4,850 SF Chick-fil-A restaurant with drive-through","$2,100,000","4,850",U-22-30-20-ZZZ-000000-33300,Chick-fil-A,100%
2025-04-30,BLD-2025-022750,City of Tampa,Tampa,1523 S Dale Mabry Hwy,33629,Commercial Tenant Improvement,Permit Issued,Publix Super Markets Inc,Publix Realty LLC,Stellar Group Inc,"Full interior renovation 47,500 SF supermarket — new deli/bakery/pharmacy","$3,800,000","47,500",A-24-29-18-ZZZ-000000-00440,Publix,100%
2025-04-22,BC-2025-007210,"Hillsborough County, FL",Tampa,8701 N Dale Mabry Hwy,33614,Commercial New Construction,Permit Issued,Home Depot USA Inc,Home Depot USA Inc,Coreslab Structures Inc,"52,000 SF garden center expansion and warehouse addition","$4,200,000","52,000",U-10-28-18-ZZZ-000000-44400,Home Depot,100%
2025-04-17,BD-2025-010110,"Pasco County, FL",New Port Richey,2850 Trouble Creek Rd,34655,Commercial New Construction,Permit Issued,Amazon Logistics Inc,Vadata Inc,Clancy & Theys Construction Co,"New 200,000 SF Amazon delivery station (DSP4) — tilt-wall","$19,500,000","200,000",13-26-16-0000-00400-0010,Amazon,100%
2025-03-19,BLD-2025-018200,City of Tampa,Tampa,4215 E Hillsborough Ave,33610,Commercial New Construction,Permit Issued,Amazon.com Services LLC,Amazon Logistics Inc,DPR Construction,"New 95,000 SF last-mile delivery station (DST7)","$11,200,000","95,000",A-16-29-19-ZZZ-000000-00220,Amazon,100%
2025-03-14,BC-2025-005900,"Hillsborough County, FL",Riverview,12301 Boyette Rd,33569,Commercial New Construction,Permit Issued,Publix Super Markets Inc,Publix Realty LLC,Brasfield & Gorrie LLC,"New 49,200 SF supermarket with pharmacy and fuel center","$6,800,000","49,200",U-27-30-20-ZZZ-000000-11100,Publix,100%
2025-03-05,BD-2025-007820,"Pasco County, FL",Wesley Chapel,7800 Epperson Blvd,33545,Commercial New Construction,Permit Issued,Publix Super Markets Inc,Publix Realty LLC,Welbro Building Corporation,"New 52,600 SF supermarket — Epperson Ranch Town Center","$7,400,000","52,600",20-25-21-0000-00100-0130,Publix,100%
2025-02-11,BLD-2025-013890,City of Tampa,Tampa,400 N Ashley Dr,33602,Commercial New Construction,Application Received,Marriott International Inc,Marriott Hotel Services LLC,Suffolk Construction Co,New 14-story 312-room Courtyard by Marriott — downtown Tampa,"$54,000,000","210,000",A-01-29-18-ZZZ-000000-00880,Marriott,100%
2025-02-03,BC-2025-003408,"Hillsborough County, FL",Gibsonton,10120 Gibsonton Dr,33534,Commercial New Construction,Plan Review,Wal-Mart Stores East LP,Walmart Real Estate Business Trust,Harkins Builders Inc,"New 152,000 SF Walmart Supercenter — garden center & tire/lube","$18,400,000","152,000",U-01-31-19-ZZZ-000000-99900,Walmart,100%
2025-01-30,BD-2025-005540,"Pasco County, FL",Wesley Chapel,29100 SR-54,33543,Commercial New Construction,Permit Issued,FedEx Ground Package System Inc,FedEx Ground Package System Inc,Conlan Company,"New 260,000 SF FedEx Ground distribution hub","$31,200,000","260,000",10-26-20-0000-00200-0010,FedEx,100%
2025-01-23,BLD-2025-010044,City of Tampa,Tampa,4811 W Gandy Blvd,33611,Commercial New Construction,Permit Issued,Costco Wholesale Corporation,Costco Wholesale Corporation,Hensel Phelps Construction Co,"New 160,000 SF Costco warehouse with tire center and fuel station","$21,000,000","160,000",A-30-29-17-ZZZ-000000-00110,Costco,100%
2025-01-08,BC-2025-001122,"Hillsborough County, FL",Tampa,7850 East Adamo Dr,33619,Commercial New Construction,Permit Issued,Vadata Inc,Vadata Inc,Whiting-Turner Contracting Co,"New 1,050,000 SF fulfillment center - tilt-wall Class A","$148,000,000","1,050,000",U-09-29-19-ZZZ-000000-00000,Amazon,100%
